Track_Artist,Track,Artist,Release Date,Release Year,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Stimmung,Tempo,Key,Mode,Energy,Danceability,Beats per Bar,Track-URI,Album,Track-Popularity,Track-Bild,Artist-URI,Follower,Genre,Popularity,Artist-Bild
X (feat. Future)21 Savage,X (feat. Future),21 Savage,7/15/2016,2016,QZ45A1600041,1302,41.2,581220786,115125,20776088,65,365678540,2841760,80,4912,9821,1771108,94,1992,17,16,78389,19,267465925,32765,159665164,1739069,1,,,,,,,,,,,,,,,,
CRAZYZFuerza Regida,CRAZYZ,Fuerza Regida,10/20/2023,2023,QZ9QQ2300772,1314,41.1,202633616,12683,18918954,78,117472301,623131,,172878,1541896,84907151,11,19,,14,1870596,7,8147122,2211,,564296,1,,,,,,,,,,,,,,,,
PassionfruitDrake,Passionfruit,Drake,3/18/2017,2017,USCM51700072,1309,41.1,1625307365,288559,72837714,77,410329826,2747230,185316,144066647,907498533,2327344,241,26825,51,76,401696,28,176739390,142939,7711539,5160420,0,somber,112,B,major,average energy,very danceable,4,5mCPDVBb16L4XQwDdbRUpz,More Life,80,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,4mskfuiHWZ3nX3qAdeaGiR,223291,country,56,https://i.scdn.co/image/ab6761610000e5eb4e64411f2f0155d1af9a7c19
Like CrazyJimin,Like Crazy,Jimin,3/24/2023,2023,USA2P2251865,1308,41.1,1165398518,16425,22818507,84,139608215,4239579,2034,5827931,25133495,252370542,20,7682,12,38,10012693,2,34061208,101,,830091,0,,,,,,,,,,,,,,,,
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades DZAYN,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/2016,2016,USQ4E1602586,1312,41.1,1662288901,129306,54219735,75,1049659880,9224750,171618,1982231,6028763,508689201,130,33652,22,72,721612,29,305499151,225474,1739764,11706559,0,,,,,,,,,,,,,,,,
What It Is (Solo Version)Doechii,What It Is (Solo Version),Doechii,3/17/2023,2023,USUG12301967,1311,41.1,308738277,38674,36667220,70,77532151,1140208,772763,103987020,1174579945,1724519,29,1879,1061,13,238695,25,20407479,2818,,759382,1,,,,,,,,,,,,,,,,
Bad and Boujee (feat. Lil Uzi Vert)Migos,Bad and Boujee (feat. Lil Uzi Vert),Migos,10/28/2016,2016,QMCE31600796,1307,41.1,936450891,173279,29410941,66,59661695,602296,2682279,45438518,288759827,4489,194,13967,18,36,153558,34,545450796,753193,,6813172,1,melancholic,127,B,major,high energy,very danceable,4,0M9ydKzuF3oZTfYYPfaGX1,Culture,69,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd,6oMuImdp5ZcFhWP0ESe6mG,14230343,trap,76,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,2/24/2017,2017,USRC11700058,1313,41.1,706158416,87667,24084151,65,1601099483,7360323,1069767,28595817,233419445,348204812,76,67073,69,57,239183,39,107237615,37694,446194,7039145,0,,,,,,,,,,,,,,,,
Soak City (Do it)310babii,Soak City (Do it),310babii,6/3/2023,2023,QZK6G2375527,131,41.1,128855739,26723,26216067,65,17779741,246939,59991,159054107,1598512701,283635839,14,1318,1893,3,909981,14,12625658,6542,6657861,2066168,1,,,,,,,,,,,,,,,,
The Woo (feat. 50 Cent & Roddy Ricch)Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,7/3/2020,2020,USUM72013367,1319,41,560691819,166545,26349705,65,303897464,2717884,28912,11579283,79349687,13529762,74,141789,103,18,130497,7,60873202,28297,,1879880,1,,,,,,,,,,,,,,,,
